Language,Category,Precision,Recall,F1
java,summary,0.7865168539325843,0.8632286995515696,0.8230892570817745
java,Ownership,0.9782608695652174,1.0,0.989010989010989
java,Expand,0.20512820512820512,0.0784313725490196,0.11347517730496454
java,usage,0.9606557377049181,0.679814385150812,0.7961956521739131
java,Pointer,0.7379912663755459,0.9184782608695652,0.8184019370460048
java,deprecation,0.0,0.0,0.0
java,rational,0.10084033613445378,0.17647058823529413,0.12834224598930483
python,Usage,0.7586206896551724,0.5454545454545454,0.6346153846153846
python,Parameters,0.6326530612244898,0.484375,0.5486725663716814
python,DevelopmentNotes,0.0,0.0,0.0
python,Expand,0.3181818181818182,0.109375,0.16279069767441862
python,Summary,0.5631067961165048,0.7073170731707317,0.6270270270270271
pharo,Keyimplementationpoints,0.0,0.0,0.0
pharo,Example,0.9047619047619048,0.6386554621848739,0.7487684729064039
pharo,Responsibilities,0.4878048780487805,0.7692307692307693,0.5970149253731343
pharo,Classreferences,0.0,0.0,0.0
pharo,Intent,0.8709677419354839,0.9,0.8852459016393442
pharo,Keymessages,0.0,0.0,0.0
pharo,Collaborators,0.0,0.0,0.0
